char_name,description,extra
Mrs. Abbott,"Mrs. Abbott was the mother of Hannah Abbott, a Hufflepuff in Harry’s year. Mrs. Abbott was found dead in the fall of 1996, having been murdered by Death Eaters (HBP11). Read More",
Abbott family,"The Abbott family is a wizarding family that once lived in Godric’s Hollow. The family name was on a headstone in the graveyard in Godric’s Hollow, probably ancestors of Hannah Abbott, since wizarding families tended to live close together in certain villages after the Statute of Secrecy went into effect… Read More",
Hannah Abbott,"Hannah Abbott is a Hufflepuff student in Harry’s year at Hogwarts. A pink-faced blonde girl who wears her hair in pigtails (PS7), Hannah is a close friend of Ernie Macmillan (CS11, CS15), who shares her hobby of collecting chocolate frog cards (GF19). Both Hannah and… Read More",
Abel Treetops,"Abel Treetops was a wizard from Cincinnati who said in 1832 that he had a patented approach for taming Wampus Cats so that they might be used as guards for wizarding homes. In actuality, Treetops was placing Engorgement Charms on Kneazles, which are tame and naturally hostile to suspicious and… Read More",
Euan Abercrombie,Euan Abercrombie was a small boy with prominent ears; it’s implied that at the beginning of his first year that he believed the Daily Prophet‘s smear campaign against Harry (OP11). Read More,
Aberforth Dumbledore,"Aberforth Dumbledore was a tall, thin, grumpy-looking old man with a great deal of long grey hair and a beard (OP16). Like his famous brother Albus, he wore glasses (HBP12) and had blue eyes (DH). Aberforth was the barkeep at the Hog’s Head in Hogsmeade (EBF) and was… Read More",
Abernathy,Abernathy was Tina Goldstein’s pompous boss in the wand permit office at MACUSA headquarters (WFT). Read More,
Abraham Peasegood,"Abraham Peasegood was an American wizard who invented the game of Quodpot (QA8). Peasegood immigrated to North America in the 1700s, intending to form a Quidditch team when he got there. The story goes that the Quaffle he had packed in his luggage came into contact with… Read More",
Abraham Potter,Abraham Potter was one of MACUSA’s original twelve aurors (Pm). Read More,
Abraxas Malfoy,"Abraxas Malfoy was a wizard who was believed to be involved in a plot which led to the first Muggle-born Minister for Magic, Nobby Leach, leaving office owing to a mysterious illness (Pm). Abraxas died of Dragon Pox (HBP9). Read More",
Achilles Tolliver,Achilles Tolliver was an Auror whom Tina Goldstein dated after she read the (erroneous) magazine headline announcing that Newt was going to marry Leta Lestrange (CG). Read More,
Stewart Ackerley,Stewart Ackerley was a Ravenclaw student who started Hogwarts in 1994 (GF12). Read More,
Adalbert Waffling,"Adalbert Waffling was a famous magical theoretician and the author of Magical Theory (PS5, DH2, FW). Albus Dumbledore, which whom he corresponded, credits Waffling with the codification of the “Fundamental Laws of Magic” (DH2, WHH, TBB). Read More",
Adrian Pucey,"Adrian Pucey is a Chaser on the Slytherin Quidditch Team who participated in some of the hardest-fought matches of Harry Potter’s Quidditch career at Hogwarts, including the match where Harry’s arm was shattered by a rogue Bludger (CS10). He was also a part of the infamous… Read More",
Adrian Tutley,"Adrian Tutley was a wizard who lodged a complaint with the International Confederation of Wizards about the Uagadou School Animagi Team. Their performance of “synchronized transforming” astounded the crowd attending an International Symposium of Animagi (Pm: Uagadou). Many older wizards, including Mr. Tutley, “felt threatened by fourteen-year-olds who could turn at… Read More",
three African wizards,Harry saw these three men cooking a rabbit over purple flames in the Quidditch World Cup campground (GF7). Read More,
Agatha Chubb,Agatha Chubb was a witch whose expertise was in ancient wizarding artefacts. While researching the Quidditch practices of the 16th century she discovered twelve Bludgers made of lead in peat bogs and marshes in Great Britain and Ireland (QA6). She used her finds to show how modern… Read More,
Agatha Timms,"Agatha Timms was a short witch who owns an eel farm. At the 1994 Quiddtch World Cup, Agatha bets half shares in her eel farm on a week-long match (GF7). Read More",
Agilbert Fontaine,Agilbert Fontaine is the current Headmaster of Ilvermorny School of Witchcraft and Wizardry (Pm). Read More,
Agnes,"Agnes was a patient in the Janus Thickey Ward for permanent spell damage at St. Mungo’s Hospital along with the Longbottoms, Broderick Bode (now deceased) and Gilderoy Lockhart. Agnes’ entire head is covered with fur and she barks instead of speaking (OP23). The… Read More",
Cornelius Agrippa,"Heinrich Cornelius Agrippa von Nettesheim was scholar and author who wrote on many topics, including the occult. He appears on a Chocolate Frog trading card, which reads “celebrated wizard imprisoned by Muggles for his writing, because they thought his books were evil” (FW, PS6, CF). In September 1991, Ron… Read More",
Aidan Kiely,"Aidan Kiely played Seeker for the Kenmare Kestrels (c. 1993). As reported in the Daily Prophet article “Maddock Blamed for Kestrels’ Win“, Kiely’s capture of the Snitch won a game against the Montrose Magpies following a mis-directed kick (of the Snitch) by the controversial Magpies Chaser Alasdair… Read More",
Aidan Lynch,"Aidan Lynch played Seeker for Ireland’s National Team at the 1994 Quidditch World Cup. All the members of the Irish team rode Firebolt brooms during the 1994 tournament (PA4, GF8). During the final match, Lynch was fooled by a Wronski Feint performed by Bulgarian Seeker… Read More",
Alasdair Maddock,"Alasdair Maddock is a Quidditch player, a Chaser for the Montrose Magpies (1990s). Maddock is a bit over-interested in Muggle sports, which is documented in a series of articles in the Daily Prophet. Daily Prophet features Magpie Chaser “Only Tried Football for a Laugh” – Maddock is… Read More",
Alastor Gumboil,"Alastor Gumboil is an employee at the Ministry of Magic, recruiting for new members for the Department of Magical Law Enforcement. He placed an ad in the Daily Prophet looking for applicants for the position of “Hit-Witch” or “Hit-Wizard”. Mr Gumboil’s office is located in Room 919 at the Ministry (… Read More",
Mad-Eye Moody,"Alastor “Mad-Eye” Moody is a retired Auror, considered one of the best Dark Wizard catchers the Ministry has ever had. Moody came on staff for a year at Hogwarts, but  spent it at the bottom of a magical trunk, unbeknownst to anyone but the imposter who put him there (… Read More",
Albanian peasant,"When he found Ravenclaw’s diadem in Albania, Voldemort killed a peasant and used his or her death to turn the priceless object into a Horcrux (BLC). Read More",
Alberic Grunnion,Alberic Grunnion was the inventor of the Dungbomb (FW). His Chocolate Frog card was one of the ones Harry received on his first journey to Hogwarts (PS6). Read More,
Alberta Toothill,"Famous wizarding duellist. Toothill won the All-England competition in 1430 with a Blasting Curse. She defeated Samson Wiblin, who was the favorite to win. Toothill now appears on a Famous Wizard card (and Wiblin doesn’t!) (FW)… Read More",
Albert Boot,"Albert Boot was the fifth Minister for Magic, in office 1747-1752. He couldn’t handle a goblin rebellion and resigned (Pm). Read More",
Albert Jorkins,Albert Jorkins was a wizard whose daughter Griselda Harmonia Jorkins’s birth was announced in the Daily Prophet (DP2). Read More,
Albert Runcorn,"Albert Runcorn was a tall, bearded wizard who works for the Ministry of Magic. He unwittingly played a part in Harry, Ron, and Hermione’s infiltration of the Ministry when Hermione gave him a Nosebleed Nougat, convinced him to go home, and took some of his hairs to add to… Read More",
